Period,DefaultRate,USDJPYSPOT,NikkeiStockAverage,CallRate,PrimeRateST,PrimeRateLT,LendingLocalBank,All_RE_Price,Tokyo_RE_Price,Hiroshima_RE_Price,Yamaguchi_RE_Price,Fukuoka_RE_Price,All_RE_Rate,Tokyo_RE_Rate,Hiroshima_RE_Rate,Yamaguchi_RE_Rate,Fukuoka_RE_Rate
13-Sep,0.017,97.89,14455.8,0.062,0.882,1.319,2077689,,,,,,,,,,
13-Oct,0.017,98.34,14327.94,0.072,0.867,1.312,2083457,,,,,,,,,,
13-Nov,0.016,102.24,15661.87,0.071,0.871,1.305,2083973,,,,,,,,,,
13-Dec,0.016,105.37,16291.31,0.068,0.88,1.297,2102647,,,,,,,,,,
14-Jan,0.016,102.49,14914.53,0.071,0.868,1.291,2108973,,,,,,,,,,
14-Feb,0.015,101.66,14841.07,0.072,0.872,1.284,2107345,,,,,,,,,,
14-Mar,0.015,102.98,14827.83,0.044,0.854,1.265,2120659,"109,500","363,600","74,800","31,000","80,400",-1.9,0.1,-2.9,-4.1,-1.5
14-Apr,0.014,102.51,14304.11,0.065,0.826,1.259,2121888,,,,,,,,,,
14-May,0.014,101.64,14632.38,0.069,0.827,1.251,2117570,,,,,,,,,,
14-Jun,0.014,101.39,15162.1,0.058,0.839,1.243,2128183,,,,,,,,,,
14-Jul,0.014,102.87,15620.77,0.065,0.84,1.237,2134927,,,,,,,,,,
14-Aug,0.014,103.83,15424.59,0.07,0.838,1.231,2141418,,,,,,,,,,
14-Sep,0.013,109.42,16173.52,0.029,0.852,1.219,2150839,,,,,,,,,,
14-Oct,0.013,111.23,16413.76,0.06,0.807,1.212,2157371,,,,,,,,,,
14-Nov,0.012,118.22,17459.85,0.067,0.833,1.205,2159935,,,,,,,,,,
14-Dec,0.012,119.8,17450.77,0.066,0.85,1.192,2180911,,,,,,,,,,
15-Jan,0.013,117.9,17674.39,0.071,0.849,1.186,2188154,,,,,,,,,,
15-Feb,0.013,119.29,18797.94,0.074,0.856,1.177,2188855,,,,,,,,,,
15-Mar,0.013,120.21,19206.99,0.015,0.84,1.158,2202280,"113,000","377,100","82,500","30,100","81,500",-1.2,0.9,-2,-3.2,-0.9
15-Apr,0.013,118.91,19520.01,0.063,0.821,1.152,2202461,,,,,,,,,,
15-May,0.013,123.75,20563.15,0.073,0.807,1.144,2199154,,,,,,,,,,
15-Jun,0.013,122.25,20235.73,0.011,0.783,1.137,2208082,,,,,,,,,,
15-Jul,0.013,124.22,20585.24,0.064,0.771,1.131,2216461,,,,,,,,,,
15-Aug,0.013,121.19,18890.48,0.071,0.769,1.125,2221704,,,,,,,,,,
15-Sep,0.013,120.03,17388.15,0.01,0.771,1.116,2230395,,,,,,,,,,
15-Oct,0.013,120.74,19083.1,0.074,0.764,1.111,2235189,,,,,,,,,,
15-Nov,0.013,122.83,19747.47,0.076,0.76,1.106,2236904,,,,,,,,,,
15-Dec,0.013,120.42,19033.71,0.038,0.778,1.099,2258762,,,,,,,,,,
16-Jan,0.011,120.63,17518.3,0.066,0.765,1.094,2264993,,,,,,,,,,
16-Feb,0.011,112.99,16026.76,-0.001,0.757,1.084,2263114,,,,,,,,,,
16-Mar,0.011,112.43,16758.67,-0.002,0.707,1.057,2273866,"116,900","394,800","84,600","29,600","84,200",-0.9,1,-1.4,-2.6,-0.5
16-Apr,0.011,108.4,16666.05,-0.056,0.707,1.044,2277859,,,,,,,,,,
16-May,0.011,111.14,17234.98,-0.054,0.673,1.029,2272921,,,,,,,,,,
16-Jun,0.011,102.7,15575.92,-0.064,0.646,1.018,2281597,,,,,,,,,,
16-Jul,0.011,103.63,16569.27,-0.046,0.648,1.008,2290372,,,,,,,,,,
16-Aug,0.011,103.28,16887.4,-0.048,0.63,1,2295207,,,,,,,,,,
16-Sep,0.01,100.9,16449.84,-0.06,0.627,0.989,2305378,,,,,,,,,,
16-Oct,0.01,104.92,17425.02,-0.047,0.62,0.982,2313050,,,,,,,,,,
16-Nov,0.01,112.73,18308.48,-0.054,0.62,0.976,2315743,,,,,,,,,,
16-Dec,0.01,117.11,19114.37,-0.058,0.623,0.969,2335773,,,,,,,,,,
17-Jan,0.01,113.53,19041.34,-0.058,0.626,0.963,2341652,,,,,,,,,,
17-Feb,0.01,112.31,19118.99,-0.048,0.624,0.958,2343265,,,,,,,,,,
17-Mar,0.01,111.8,18909.26,-0.06,0.612,0.947,2356378,"123,600","421,400","87,000","29,200","89,100",-0.6,1.1,-0.5,-1.9,0.2
17-Apr,0.01,111.29,19196.74,-0.074,0.608,0.942,2357116,,,,,,,,,,
17-May,0.01,110.96,19650.57,-0.065,0.588,0.934,2354128,,,,,,,,,,
17-Jun,0.01,112.06,20033.43,-0.069,0.583,0.929,2363169,,,,,,,,,,
17-Jul,0.01,110.63,19925.18,-0.064,0.574,0.925,2372589,,,,,,,,,,
17-Aug,0.01,110.49,19646.24,-0.066,0.569,0.921,2378858,,,,,,,,,,
17-Sep,0.01,112.46,20356.28,-0.063,0.569,0.916,2387241,,,,,,,,,,
17-Oct,0.01,113.09,22011.61,-0.046,0.566,0.911,2393531,,,,,,,,,,
17-Nov,0.01,112.29,22724.96,-0.055,0.573,0.908,2397505,,,,,,,,,,
17-Dec,0.01,112.65,22764.94,-0.062,0.584,0.904,2417760,,,,,,,,,,
18-Jan,0.009,108.7,23098.29,-0.05,0.571,0.901,2420578,,,,,,,,,,
18-Feb,0.009,107.08,22068.24,-0.053,0.561,0.897,2423141,,,,,,,,,,
18-Mar,0.009,106.19,21454.3,-0.068,0.559,0.886,2434267,"130,000","439,800","89,700","29,100","95,800",-0.3,1.3,-0.1,-1.4,0.9
18-Apr,0.009,109.4,22467.87,-0.067,0.541,0.885,2436903,,,,,,,,,,
18-May,0.009,108.77,22201.82,-0.065,0.539,0.879,2433487,,,,,,,,,,
18-Jun,0.009,110.64,22304.51,-0.069,0.543,0.876,2444615,,,,,,,,,,
18-Jul,0.009,111.4,22553.72,-0.065,0.546,0.872,2454989,,,,,,,,,,
18-Aug,0.009,110.81,22865.15,-0.055,0.564,0.869,2461771,,,,,,,,,,
18-Sep,0.011,113.44,24120.04,-0.064,0.579,0.864,2468903,,,,,,,,,,
18-Oct,0.011,113.2,21920.46,-0.068,0.576,0.86,2471028,,,,,,,,,,
18-Nov,0.011,113.47,22351.06,-0.062,0.585,0.857,2476426,,,,,,,,,,
18-Dec,0.011,110.4,20014.77,-0.055,0.597,0.852,2495246,,,,,,,,,,
19-Jan,0.012,108.73,20773.49,-0.06,0.594,0.85,2496179,,,,,,,,,,
19-Feb,0.012,110.76,21385.16,-0.054,0.594,0.846,2498903,,,,,,,,,,
19-Mar,0.012,110.75,21205.81,-0.06,0.602,0.838,2508224,"136,800","461,500","93,500","29,100","105,200",0.1,1.8,0.4,-0.9,1.6
19-Apr,0.013,111.68,22258.73,-0.073,0.61,0.833,2507215,,,,,,,,,,
19-May,0.013,108.78,20601.19,-0.059,0.585,0.829,2501277,,,,,,,,,,
19-Jun,0.013,107.64,21275.92,-0.076,0.609,0.827,2506606,,,,,,,,,,
19-Jul,0.013,108.56,21521.53,-0.071,0.603,0.825,2513586,,,,,,,,,,
19-Aug,0.013,106.52,20704.37,-0.061,0.6,0.823,2518946,,,,,,,,,,
19-Sep,0.012,107.86,21755.84,-0.064,0.597,0.818,2525774,,,,,,,,,,
19-Oct,0.012,108.61,22927.04,-0.03,0.592,0.816,2528802,,,,,,,,,,
19-Nov,0.011,109.5,23293.91,-0.034,0.596,0.813,2533859,,,,,,,,,,
19-Dec,0.011,109.15,23656.62,-0.068,0.602,0.809,2550692,,,,,,,,,,
20-Jan,0.011,109.04,23205.18,-0.039,0.58,0.807,2555290,,,,,,,,,,
20-Feb,0.011,108.84,21142.96,-0.025,0.587,0.804,2558026,,,,,,,,,,
20-Mar,0.011,108.42,18917.01,-0.07,0.576,0.797,2567638,"147,300","499,000","98,300","29,100","116,800",0.4,2.2,0.6,-0.6,2.3
20-Apr,0.011,106.6,20193.69,-0.06,0.546,0.791,2580238,,,,,,,,,,
20-May,0.011,107.21,21877.89,-0.073,0.501,0.784,2594845,,,,,,,,,,
20-Jun,0.011,107.73,22288.14,-0.068,0.467,0.784,2623965,,,,,,,,,,
20-Jul,0.011,104.45,21710,-0.021,0.46,0.784,2643236,,,,,,,,,,
